brand;aliases;match_type
ABO Valve;abo, abo valve;exact
ADL;адл, adl, сфера тгв, сфератгв;both
Also;алсо, also;both
Altstream;altstream;both
Aqualink;aqualink, аквалинк;both
Aquasfera;аквасфера, aquasfera;both
Ari-Armaturen;ari-armaturen;exact
AV Engineering;av engineering, avengineering;exact
Beize;beize;exact
Benarmo;бенармо, benarmo;both
Bray;bray;exact
Broen;ballomax, broen, броен, балломакс;both
Bugatti;bugatti;both
CI;ci;exact
Danfoss;danfoss, данфосс, ридан трейд, ридан, ridan;both
Dist;дист;exact
Dist;dist;both
Effebi;effebi;both
Elsen;elsen;both
Equation;equation;both
Extrus;extrus;both
Exxon valve;exxon;exact
Fado;fado;both
FAR;far;exact
FAR;farrubinetterie;both
Forteca;forteca, фортека;both
FRAP;frap;both
Gallop;галлоп, gallop, практик;both
Genebre;genebre;both
General Fittings;general fittings, generalfittings a, gf;exact
Georg Ficher;georg ficher;both
Giacomini;giacomini, джиакомини, джакомини;both
HERZ;herz;both
HLV;hlv;both
HLV;hlv;exact
Hogfors;hogfors;exact
ICMA;icma;both
ITAP;itap;both
Ivanci;ivanci;both
IVR;ivr;both
Jakko;жакко, jakko;both
Kaisitong;kaisitong;exact
Kaldo;kaldo, kalde;both
KAN;kan-therm;both
KAN;kan;exact
KAS;kas;exact
Koer;koer;exact
Lammin;lammin, ламмин;both
LD;ld pride, раванирус, равани рус, лд прайд;both
LD;лд, ld, чфз, челябинский фланцевый завод, чсгс, челябинскспецгражданстрой;exact
Lexline;lexline;both
Marshal;marshal, маршал;both
Marshal;арматура м, арматурам;exact
MVI;mvi;exact
MVI;эмвиай;both
Oventrop;oventrop, овентроп;both
Pro Aqua;pro aqua, про аква;exact
Proexpert;proexpert;both
Profactor;profactor;both
Profeco;profeco;both
Prokonsim;проконсим;both
Raftec;raftec;exact
Remsan;remsan, ремсан;both
RMCX;rmcx;exact
Rommer;rommer;both
Rommer;rommer;both
RTP;ростурпласт, РОСТУРПЛAСТ;both
RTP;rtp, ртп, ртт;exact
RVC;rvc;exact
Sanext;sanext;both
Santechsystems;santechsystems;both
Santrek;santrek;both
Sigeval;sigeval;exact
STI;эстиай;both
STI;sti;exact
Stout;stout, стаут;both
TDS;tds;exact
Tebo;tebo;both
Tecofi;tecofi, tecfly;both
Temper;temper, темпер;both
Thermofix;thermofix;both
Tiemme;tiemme, mistral;both
TIM;tim;exact
Uni-Fitt;unifitt, unifit, юнифит, юнифитт, etalon;both
Valfex;valfex, валфекс, валфекс-пайп, теплосеть, тд валфрус, валфекспайп, валфекс трейд, валфекстрейд;both
Valfex;valf, vf;exact
Valogin;valogin;both
Valogin;v&g;exact
Valtec;valtec, валтек, вестарегионы, веста регионы;both
Varmega;varmega, вармега;both
Vexve;vexve, вексве;both
Vieir;vieir;both
VRT;vrt;exact
Warex;warex;exact
Waterpro;waterpro;both
Watts;watts;both
Weser;weser, везер;both
Windmill;windmill;exact
Yaowei;yaowei;exact
Yuanda;yuanda;exact
Yuda;yuda;exact
БАЗ;бологовский арматурный завод, баз;exact
Брянский арматурный завод;брянский арматурный завод;exact
Пензапромарматура;пензапромарматура;both
Союз Металл;союз металл, союз м;both
Цветлит;цветлит;both
